type,label,url,saved_to
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1368456&GUID=9FF0A91A-6959-4021-A539-C620DE3CD686,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1352274&GUID=4B3E57FA-F2F3-4C01-A00C-781F64B5D174,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=A&ID=1352274&GUID=4B3E57FA-F2F3-4C01-A00C-781F64B5D174,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1410869&GUID=78DB30A1-5FD8-49E9-B05D-BF61E7318D89,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1410870&GUID=356C8578-6E32-48C5-B44C-470217E2CAC9,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=A&ID=1410870&GUID=356C8578-6E32-48C5-B44C-470217E2CAC9,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1360147&GUID=C3717151-CEE3-4575-B1E0-EFEE7F595567,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1360146&GUID=B10C6236-1D39-4909-923D-DF30358308C8,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1336792&GUID=BB200A4D-F36C-4DA3-85C0-D3CEB3374009,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=A&ID=1336792&GUID=BB200A4D-F36C-4DA3-85C0-D3CEB3374009,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1352701&GUID=3A85E2C4-669A-4630-902D-13784DDD1B74,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=A&ID=1352701&GUID=3A85E2C4-669A-4630-902D-13784DDD1B74,dallas_legistar_downloads/Agenda.pdf
Agenda/File,Agenda,https://cityofdallas.legistar.com/View.ashx?M=IC&ID=1372221&GUID=CC5596C0-491B-4254-8F12-9D2CABA95F47,dallas_legistar_downloads/Agenda.pdf
